name	indication	catagories	synonyms
Cefditoren	For the treatment of mild to moderate infections in adults and adolescents (12 years of age or older) which are caused by susceptible strains of microorganisms in acute bacterial exacerbation of chronic bronchitis, community-acquired pneumonia, pharyngitis/tonsillitis, and uncomplicated skin and skin-structure infections.	Cephalosporins****spec****Anti-Bacterial Agents****spec****	CDTR-PI****spec****Cefditoren Pivaloyloxymethyl Ester****spec****Cefditoren Pivoxil****spec****
Glipizide	For use as an adjunct to diet for the control of hyperglycemia and its associated symptomatology in patients with non-insulin-dependent diabetes mellitus (NIDDM; type II), formerly known as maturity-onset diabetes, after an adequate trial of dietary therapy has proved unsatisfactory.	Hypoglycemic Agents****spec****	1-Cyclohexyl-3-({p-[2-(5-methylpyrazinecarboxamido)ethyl]phenyl}sulfonyl)urea****spec****Aldiab****spec****CP 28,720****spec****CP 28720****spec****CP-28,720****spec****Digrin****spec****Dipazide****spec****Glibenese****spec****Glibetin****spec****Glican****spec****Glidiab****spec****Glipid****spec****Glipizida****spec****Glipizidum****spec****Gluco-rite****spec****Glucolip****spec****Glucotrol****spec****Glucozide****spec****Glupitel****spec****Glupizide****spec****Glyde****spec****Glydiazinamide****spec****K 4024****spec****Melizide****spec****Mindiab****spec****Minidab****spec****Minidiab****spec****Minodiab****spec****N-{4-[beta-(5-methylpyrazine-2-carboxamido)ethyl]benzenesulphonyl}-n'-cyclohexylurea****spec****Napizide****spec****Ozidia****spec****Sucrazide****spec****
Clonazepam	Clonazepam is used as an anticonvulsant in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic and myoclonic seizures. It can also be used for the treatment of panic disorders. 	Benzodiazepines****spec****Anticonvulsants****spec****GABA Modulators****spec****	1,3-dihydro-7-Nitro-5-(2-chlorophenyl)-2H-1,4.benzodiazepin-2-one****spec****5-(2-Chloro-phenyl)-7-nitro-1,3-dihydro-benzo[e][1,4]diazepin-2-one****spec****5-(2-Chlorophenyl)-7-nitro-1H-benzo[e][1,4]diazepin-2(3H)-one****spec****5-(O-Chlorophenyl)-7-nitro-1,3-dihydro-2H-1,4-benzodiazepin-2-one****spec****CLONAZEPAM****spec****Clonazepamum****spec****
Promethazine	For the treatment of allergic disorders, and nausea/vomiting.	Histamine H1 Antagonists****spec****Antipruritics****spec****Anti-Allergic Agents****spec****	(2-dimethylamino-2-methyl)ethyl-N-dibenzoparathiazine****spec****10-(2-Dimethylaminopropyl)phenothiazine****spec****10-[2-(dimethylamino)Propyl]phenothiazine****spec****N-(2'-dimethylamino-2'-Methyl)ethylphenothiazine****spec****N,N,alpha-Trimethyl-10H-phenothiazine-10-ethanamine****spec****N,N,α-trimethyl-10H-phenothiazine-10-ethanamine****spec****Proazamine****spec****Prometazina****spec****Promethazine****spec****Promethazinum****spec****
Dihydrotachysterol	Used for the prevention and treatment of rickets or osteomalacia, and to manage hypocalcemia associated with hypoparathyroidism or pseudohypoparathyroidism. Also used for the treatment of vitamin D dependent rickets, rickets or osteomalacia secondary to long-term high dose anticonvulsant therapy, early renal osteodystrophy, osteoporosis (in conjunction with calcium), and hypophosphatemia associated with Fanconi syndrome (with treatment of acidosis).	Antihypocalcemic Agents****spec****Bone Density Conservation Agents****spec****Vitamins****spec****Vitamin D****spec****Antithyroid Agents****spec****	Anti-tetany substance 10****spec****AT 10****spec****Dihidrotaquisterol****spec****Dihydrotachysterol****spec****Dihydrotachysterolum****spec****Vitamin D4****spec****
Mequitazine	For the treatment of Hay fever, urticaria (hives) and allergic rhinitis	Histamine H1 Antagonists****spec****	Kitazemin****spec****Mequitazina****spec****Mequitazinum****spec****
Atazanavir	Used in combination with other antiretroviral agents for the treatment of HIV-1 infection, as well as postexposure prophylaxis of HIV infection in individuals who have had occupational or nonoccupational exposure to potentially infectious body fluids of a person known to be infected with HIV when that exposure represents a substantial risk for HIV transmission.	HIV Protease Inhibitors****spec****Anti-HIV Agents****spec****	Atazanavirum****spec****ATV****spec****ATZ****spec****Latazanavir****spec****Zrivada****spec****
Fludarabine	For the treatment of adult patients with B-cell chronic lymphocytic leukemia (CLL) who have not responded to or whose disease has progressed during treatment with at least one standard alkylating-agent containing regimen	Antineoplastic Agents****spec****	2-Fluoro-ara AMP****spec****2-Fluoroadenine arabinoside 5'-monophosphate****spec****2F-Ara-AMP****spec****9-beta-Arabinofuranosyl-2-fluoroadenine-5'-phosphate****spec****9-beta-D-Arabinofuranosyl-2-fluoroadenine 5'-(dihydrogen phosphate)****spec****9-beta-D-Arabinofuranosyl-2-fluoroadenine 5'-monophosphate****spec****FAMP****spec****Fludara****spec****Fludarabine 5'-monophosphate****spec****Fludarabine monophosphate****spec****Fludarabine phosphate****spec****
Perhexiline	For the management of severe angina pectoris.	Cardiovascular Agents****spec****Vasodilator Agents****spec****Calcium Channel Blockers****spec****	(-)-2-(2,2-Dicyclohexylethyl)piperidine****spec****(+)-2-(2,2-Dicyclohexylethyl)piperidine****spec****2-(2,2-Dicyclohexylethyl)piperidine****spec****Perhexilene****spec****Perhexilina****spec****Perhexiline****spec****Perhexilinum****spec****Perhexilline****spec****
Diphenhydramine	For the treatment of symptoms associated with Vertigo/Meniere's disease, nausea and vomiting, motion sickness and insect bite.	Histamine H1 Antagonists****spec****Anesthetics, Local****spec****Hypnotics and Sedatives****spec****Antitussive Agents****spec****Anti-Allergic Agents****spec****Antidyskinetics****spec****Antiemetics****spec****	2-(Benzhydryloxy)-N,N-dimethylethylamine****spec****2-diphenylmethoxy-N,N-demthylethanamine****spec****alpha-(2-Dimethylaminoethoxy)diphenylmethane****spec****beta-Dimethylaminoethanol diphenylmethyl ether****spec****beta-Dimethylaminoethyl benzhydryl ether****spec****Difenhidramina****spec****Diphenhydraminum****spec****N-(2-(Diphenylmethoxy)ethyl)-N,N-dimethylamine****spec****O-benzhydryldimethylaminoethanol****spec****β-dimethylaminoethyl benzhydryl ether****spec****
Atorvastatin	May be used as primary prevention in individuals with multiple risk factors for coronary heart disease (CHD) and as secondary prevention in individuals with CHD to reduce the risk of myocardial infarction (MI), stroke, angina, and revascularization procedures. May be used to reduce the risk of cardiovascular events in patients with acute coronary syndrome (ACS). May be used in the treatment of primary hypercholesterolemia and mixed dyslipidemia, homozygous familial hypercholesterolemia, primary dysbetalipoproteinemia, and/or hypertriglyeridemia as an adjunct to dietary therapy to decrease serum total and low-density lipoprotein cholesterol (LDL-C), apolipoprotein B (apoB), and triglyceride concentrations, while increasing high-density lipoprotein cholesterol (HDL-C) levels.	Anticholesteremic Agents****spec****Hydroxymethylglutaryl-CoA Reductase Inhibitors****spec****	Lipovastatinklonal****spec****
Etidronic acid	For the treatment of symptomatic Paget's disease of bone and in the prevention and treatment of heterotopic ossification following total hip replacement or due to spinal cord injury.	Antihypocalcemic Agents****spec****Bone Density Conservation Agents****spec****Bisphosphonates****spec****	(1-Hydroxyethylene)diphosphonic acid****spec****(1-Hydroxyethylidene)bis(phosphonic acid)****spec****(1-Hydroxyethylidene)bisphosphonic acid****spec****(1-Hydroxyethylidene)diphosphonic acid****spec****(Hydroxyethylidene)diphosphonic acid****spec****1-Hydroxy-1,1-diphosphonoethane****spec****1-hydroxyethane 1,1-diphosphonic acid****spec****1-Hydroxyethane-1,1-bisphosphonic acid****spec****1-Hydroxyethane-1,1-diphosphonate****spec****1-Hydroxyethane-1,1-diphosphonic acid****spec****1-Hydroxyethanediphosphonic acid****spec****1-Hydroxyethylidene-1,1-bisphosphonate****spec****1-Hydroxyethylidene-1,1-diphosphonic acid****spec****1,1,1-Ethanetriol diphosphonate****spec****Acetodiphosphonic acid****spec****Acide etidronique****spec****Acido etidronico****spec****Acidum etidronicum****spec****EHDP****spec****Ethane-1-hydroxy-1,1-bisphosphonic acid****spec****Ethane-1-hydroxy-1,1-diphosphonate****spec****Ethane-1-hydroxy-1,1-diphosphonic acid****spec****Etidronate****spec****Etidronsaeure****spec****Etidronsäure****spec****HEDP****spec****Hydroxyethanediphosphonic acid****spec****Oxyethylidenediphosphonic acid****spec****
Deslanoside	For the treatment and management of Congestive cardiac insufficiency, arrhythmias and heart failure.	Cardiotonic Agents****spec****Enzyme Inhibitors****spec****Anti-Arrhythmia Agents****spec****	(3beta,5beta,12beta)-3-{[beta-D-glucopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-2,6-dideoxy-beta-D-ribo-hexopyranosyl]oxy}-12,14-dihydroxycard-20(22)-enolide****spec****3-[(O-beta-D-Glucopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl-(1->4)-O-2,6-dideoxy-beta-D-ribo-hexopyranosyl)oxy]-12,14-dihydroxy-3beta,5beta,12beta-card-20(22)-enolide****spec****Deacetyllanatoside C****spec****Desacetyllanatoside C****spec****Deslanosido****spec****Deslanosidum****spec****Glucodigoxin****spec****
Vigabatrin	For use as an adjunct in treatment resistant epilepsy, refractory complex partial seizures, and secondary generalized seizures. It is also used as monotherapy in infantile spasms in West syndrome.	Anticonvulsants****spec****Enzyme Inhibitors****spec****GABA Agents****spec****	4-Amino-5-hexenoic acid****spec****gamma-Vinyl GABA****spec****gamma-Vinyl-gamma-aminobutyric acid****spec****GVG****spec****Vigabatrin****spec****Vigabatrina****spec****Vigabatrine****spec****Vigabatrinum****spec****
Diphenoxylate	For as adjunctive therapy in the management of diarrhea	Antidiarrheals****spec****Antiperistaltic Agents****spec****Analgesics, Opioid****spec****	1-(3-Cyano-3,3-diphenylpropyl)-4-phenyl-isonipecotic acid ethyl ester****spec****2,2-Diphenyl-4-(4-carbethoxy-4-phenylpiperidino)butyronitrile****spec****4-Ethoxycarbonyl-alpha,alpha,4-triphenyl-1-piperidinebutyronitrile****spec****Difenossilato****spec****Difenoxilato****spec****Diphenoxylatum****spec****Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenyl-4-piperidinecarboxylate****spec****Ethyl 1-(3-cyano-3,3-diphenylpropyl)-4-phenylisonipecotate****spec****
Streptomycin	For the treatment of tuberculosis. May also be used in combination with other drugs to treat tularemia (Francisella tularensis), plague (Yersia pestis), severe M. avium complex, brucellosis, and enterococcal endocarditis (e.g. E. faecalis, E. faecium).	Aminoglycosides****spec****	[2-Deoxy-2-(dimethylamino)-alpha-L-glucopyranosyl]-(1->2)-[5-deoxy-3-C-formyl-alpha-L-lyxofuranosyl]-(1->4)-{n',n'''-[(1,3,5/2,4,6)-2,4,5,6-tetrahydroxycyclohexane-1,3-diyl]diguanidine}****spec****2,4-Diguanidino-3,5,6-trihydroxycyclohexyl 5-deoxy-2-O-(2-deoxy-2-methylamino-alpha-L-glucopyranosyl)-3-C-formyl-beta-L-lyxopentanofuranoside****spec****Kantrex****spec****SM****spec****STREPTOMYCIN****spec****
Orlistat	For obesity management including weight loss and weight maintenance when used in conjunction with a reduced-calorie diet. Also used to reduce the risk for weight regain after prior weight loss. Use of orlistat is pending revision due to reports of liver-related adverse events.	Anti-Obesity Agents****spec****Enzyme Inhibitors****spec****	(-)-Tetrahydrolipstatin****spec****Orlipastat****spec****Orlipastatum****spec****Tetrahydrolipstatin****spec****Xenical****spec****
Emedastine	For the temporary relief of the signs and symptoms of allergic conjunctivitis.	Histamine H1 Antagonists****spec****Anti-Allergic Agents****spec****	1-(2-Ethoxy-ethyl)-2-(4-methyl-[1,4]diazepan-1-yl)-1H-benzoimidazole****spec****1-(2-Ethoxyethyl)-2-(hexahydro-4-methyl-1H-1,4-diazepin-1-yl)benzimidazole****spec****1-[2-(Ethoxy)ethyl]-2-(4-methyl-1-homopiperazinyl)benzimidazole****spec****Emedastina****spec****EMEDASTINE****spec****Emedastine difumarate****spec****Emedastinum****spec****
Pilocarpine	For the treatment of radiation-induced dry mouth (xerostomia) and symptoms of dry mouth in patients with Sj&ouml;grens syndrome.	Cholinergic Agents****spec****	(3S-cis)-3-Ethyldihydro-4-[(1-methyl-1H-imidazol-5-yl)methyl]-2(3H)-furanone****spec****(3S,4R)-3-Ethyldihydro-4-((1-methyl-1H-imidazol-5-yl)methyl)-2(3H)-furanone****spec****Pilocarpine****spec****
Benzocaine	For general use as a lubricant and topical anesthetic on esophagus, larynx, mouth, nasal cavity, rectum, respiratory tract or trachea, urinary tract, vagina. It is also used to suppress gag reflex.	Anesthetics, Local****spec****	4-aminobenzoic acid ethyl ester****spec****Amben ethyl ester****spec****Benzocaina****spec****Benzocaine****spec****Benzocainum****spec****Ethyl Aminobenzoate****spec****Ethyl p-Aminobenzoate****spec****Ethyl p-Aminophenylcarboxylate****spec****p-(Ethoxycarbonyl)aniline****spec****p-Carbethoxyaniline****spec****p-Ethoxycarboxylic Aniline****spec****
Primaquine	For the treatment of malaria.	Antimalarials****spec****	6-Methoxy-8-(4-amino-1-methylbutylamino)quinoline****spec****8-((4-Amino-1-methylbutyl)amino)-6-methoxyquinoline****spec****8-(4-Amino-1-methylbutylamino)-6-methoxyquinoline****spec****Neo-quipenyl****spec****Primachin****spec****Primachinum****spec****Primaquin****spec****Primaquina****spec****Primaquinum****spec****
Iloprost	Used for the treatment of pulmonary arterial hypertension.		
Deserpidine	For the treatment of hypertension.		(3beta,16beta,17alpha,18beta,20alpha)-17-Methoxy-18-[(3,4,5-trimethoxybenzoyl)oxy]yohimban-16-carboxylic acid methyl ester****spec****11-demethoxyreserpine****spec****11-desmethoxyreserpine****spec****Canescine****spec****Deserpidina****spec****Deserpidine****spec****Deserpidinum****spec****Harmonyl****spec****Raunormine****spec****Recanescine****spec****
Pentolinium	Used to produce controlled hypotension during surgical procedures and in hypertensive crises.	Ganglionic Blockers****spec****Nicotinic Antagonists****spec****Antihypertensive Agents****spec****	Pentolineum****spec****Pentolonium****spec****Pentolonum****spec****
Butenafine	For the topical treatment of the following dermatologic infections: tinea (pityriasis) versicolor due to <i>M. furfur</i>, interdigital tinea pedis (athlete&rsquo;s foot), tinea corporis (ringworm) and tinea cruris (jock itch) due to <i>E. floccosum</i>, <i>T. mentagrophytes</i>, <i>T. rubrum</i>, and <i>T. tonsurans</i>.	Antifungal Agents****spec****	(4-Tert-butyl-benzyl)-methyl-naphthalen-1-ylmethyl-amine****spec****(4-Tert-butylphenyl)-N-methyl-N-(naphthalen-1-ylmethyl)methanamine****spec****4-Tert-butylbenzyl(methyl)(1-naphthalenemethyl)amine****spec****Butenafina****spec****Butenafine****spec****Butenafinum****spec****N-(P-Tert-butylbenzyl)-N-methyl-1-naphthalenemethylamine****spec****
Ouabain	For the treatment of atrial fibrillation and flutter and heart failure	Cardiotonic Agents****spec****Enzyme Inhibitors****spec****	3-(alpha-L-Rhamnopyranosyloxy)-1beta,5beta,11alpha,14,19-pentahydroxy-5beta-card-20(22)-enolide****spec****G-Strophanthin****spec****Ouabagenin L-Rhamnoside****spec****Ouabagenin-L-rhamnosid****spec****Ouabain****spec****Ouabain anhydrous****spec****Ouabaine****spec****Oubain****spec****Strodival****spec****
